,tweets_lies,nombre_tweets_lies,candidat
ecologie,44.8201,2903,Jadot
economie,9.9583,645,Jadot
education,17.9867,1165,Jadot
immigration,6.2529,405,Jadot
sante,3.304,214,Jadot
securite_defense,17.6779,1145,Jadot
