,tweets_lies,nombre_tweets_lies,candidat
ecologie,11.8689,134,Lepen
economie,31.4438,355,Lepen
education,9.3888,106,Lepen
immigration,20.1949,228,Lepen
sante,7.2631,82,Lepen
securite_defense,19.8406,224,Lepen
