,tweets_lies,nombre_tweets_lies,candidat
ecologie,9.4891,13,Arthaud
economie,42.3358,58,Arthaud
education,14.5985,20,Arthaud
immigration,11.6788,16,Arthaud
sante,5.8394,8,Arthaud
securite_defense,16.0584,22,Arthaud
