,tweets_lies,nombre_tweets_lies,candidat
ecologie,7.2626,13,Lassalle
economie,15.0838,27,Lassalle
education,25.1397,45,Lassalle
immigration,12.8492,23,Lassalle
sante,17.3184,31,Lassalle
securite_defense,22.3464,40,Lassalle
