,tweets_lies,nombre_tweets_lies,candidat
ecologie,19.4737,111,Hidalgo
economie,20.3509,116,Hidalgo
education,21.0526,120,Hidalgo
immigration,7.3684,42,Hidalgo
sante,12.2807,70,Hidalgo
securite_defense,19.4737,111,Hidalgo
