,tweets_lies,nombre_tweets_lies,candidat
ecologie,20.6612,150,Roussel
economie,29.8898,217,Roussel
education,18.8705,137,Roussel
immigration,4.9587,36,Roussel
sante,7.438,54,Roussel
securite_defense,18.1818,132,Roussel
