,tweets_lies,nombre_tweets_lies,candidat
ecologie,11.6505,84,DupontAignan
economie,25.5201,184,DupontAignan
education,10.5409,76,DupontAignan
immigration,9.2926,67,DupontAignan
sante,18.8627,136,DupontAignan
securite_defense,24.1331,174,DupontAignan
