,tweets_lies,nombre_tweets_lies,candidat
ecologie,18.1668,329,Mélenchon
economie,26.339,477,Mélenchon
education,17.8355,323,Mélenchon
immigration,6.4605,117,Mélenchon
sante,8.3932,152,Mélenchon
securite_defense,22.8051,413,Mélenchon
