,tweets_lies,nombre_tweets_lies,candidat
ecologie,11.0656,54,Pécresse
economie,27.2541,133,Pécresse
education,14.3443,70,Pécresse
immigration,12.0902,59,Pécresse
sante,9.2213,45,Pécresse
securite_defense,26.0246,127,Pécresse
