,tweets_lies,nombre_tweets_lies,candidat
ecologie,10.5634,15,Poutou
economie,30.9859,44,Poutou
education,19.7183,28,Poutou
immigration,5.6338,8,Poutou
sante,11.2676,16,Poutou
securite_defense,21.831,31,Poutou
