,ecologie,economie,education,immigration,sante,securite_defense,date
4515,0,1,0,0,0,0,2022-01-10 11:30:54+00:00
4514,0,0,0,0,0,1,2022-01-10 11:43:32+00:00
4513,0,1,0,0,0,0,2022-01-10 11:48:40+00:00
4512,1,0,0,0,0,0,2022-01-10 12:21:30+00:00
4511,0,0,0,0,0,1,2022-01-10 12:34:15+00:00
4510,0,1,0,0,0,0,2022-01-10 12:44:04+00:00
4509,1,0,0,0,0,0,2022-01-10 12:49:27+00:00
4508,0,1,0,0,0,0,2022-01-10 13:01:11+00:00
4507,1,0,0,0,0,0,2022-01-10 13:17:17+00:00
4506,0,1,0,0,0,0,2022-01-10 13:47:16+00:00
4505,0,1,0,0,0,0,2022-01-10 14:26:38+00:00
4504,1,0,0,0,0,0,2022-01-10 14:45:18+00:00
4503,0,0,0,0,0,1,2022-01-10 15:10:16+00:00
4502,0,0,1,0,0,0,2022-01-10 16:33:33+00:00
4501,0,1,0,0,0,0,2022-01-10 18:47:52+00:00
4500,1,0,0,0,0,0,2022-01-10 21:56:14+00:00
4499,0,0,0,0,0,1,2022-01-10 22:21:15+00:00
4498,0,1,0,0,0,0,2022-01-10 22:32:43+00:00
4497,1,0,0,0,0,0,2022-01-11 06:06:16+00:00
4496,0,0,0,1,0,0,2022-01-11 06:48:15+00:00
4495,0,0,1,0,0,0,2022-01-11 07:31:08+00:00
4494,1,0,0,0,0,0,2022-01-11 07:36:20+00:00
4493,1,0,0,0,0,0,2022-01-11 08:04:10+00:00
4492,1,0,0,0,0,0,2022-01-11 08:08:54+00:00
4491,1,0,0,0,0,0,2022-01-11 08:54:00+00:00
4490,1,0,0,0,0,0,2022-01-11 08:54:29+00:00
4489,0,0,0,0,0,1,2022-01-11 09:00:46+00:00
4488,0,0,1,0,0,0,2022-01-11 09:14:14+00:00
4487,0,1,0,0,0,0,2022-01-11 09:33:56+00:00
4486,1,0,0,0,0,0,2022-01-11 09:35:51+00:00
4485,0,0,1,0,0,0,2022-01-11 09:37:17+00:00
4484,1,0,0,0,0,0,2022-01-11 09:38:48+00:00
4483,0,0,0,0,0,1,2022-01-11 09:40:50+00:00
4482,0,0,1,0,0,0,2022-01-11 09:43:13+00:00
4481,0,0,1,0,0,0,2022-01-11 09:48:28+00:00
4480,0,0,1,0,0,0,2022-01-11 09:51:40+00:00
4479,0,0,1,0,0,0,2022-01-11 09:56:57+00:00
4478,0,0,1,0,0,0,2022-01-11 10:00:45+00:00
4477,1,0,0,0,0,0,2022-01-11 10:22:43+00:00
4476,0,0,1,0,0,0,2022-01-11 10:29:32+00:00
4475,0,1,0,0,0,0,2022-01-11 10:29:34+00:00
4474,0,0,0,1,0,0,2022-01-11 10:55:27+00:00
4473,1,0,0,0,0,0,2022-01-11 10:57:41+00:00
4472,0,0,0,0,0,1,2022-01-11 11:01:12+00:00
4471,1,0,0,0,0,0,2022-01-11 11:16:02+00:00
4470,1,0,0,0,0,0,2022-01-11 11:42:53+00:00
4469,1,0,0,0,0,0,2022-01-11 11:52:10+00:00
4468,0,0,0,0,0,1,2022-01-11 11:55:06+00:00
4467,0,0,1,0,0,0,2022-01-11 12:01:13+00:00
4466,1,0,0,0,0,0,2022-01-11 12:03:13+00:00
4465,0,0,0,0,0,1,2022-01-11 12:03:17+00:00
4464,0,0,0,0,0,1,2022-01-11 12:14:13+00:00
4463,0,0,0,0,0,1,2022-01-11 12:21:20+00:00
4462,0,0,0,1,0,0,2022-01-11 12:46:37+00:00
4461,0,0,1,0,0,0,2022-01-11 12:59:38+00:00
4460,0,1,0,0,0,0,2022-01-11 13:20:11+00:00
4459,1,0,0,0,0,0,2022-01-11 14:05:52+00:00
4458,1,0,0,0,0,0,2022-01-11 14:10:36+00:00
4457,0,0,1,0,0,0,2022-01-11 14:35:04+00:00
4456,1,0,0,0,0,0,2022-01-11 14:51:22+00:00
4455,1,0,0,0,0,0,2022-01-11 16:19:41+00:00
4454,1,0,0,0,0,0,2022-01-11 16:47:06+00:00
4453,1,0,0,0,0,0,2022-01-11 17:51:22+00:00
4452,1,0,0,0,0,0,2022-01-11 19:03:58+00:00
4451,1,0,0,0,0,0,2022-01-11 19:11:19+00:00
4450,1,0,0,0,0,0,2022-01-11 19:28:17+00:00
4449,1,0,0,0,0,0,2022-01-11 19:55:07+00:00
4448,1,0,0,0,0,0,2022-01-11 20:16:08+00:00
4447,1,0,0,0,0,0,2022-01-11 20:56:15+00:00
4446,1,0,0,0,0,0,2022-01-11 21:16:14+00:00
4445,1,0,0,0,0,0,2022-01-11 22:09:28+00:00
4444,1,0,0,0,0,0,2022-01-11 23:27:04+00:00
4443,0,0,1,0,0,0,2022-01-12 00:28:35+00:00
4442,0,0,0,0,0,1,2022-01-12 00:43:35+00:00
4441,0,1,0,0,0,0,2022-01-12 00:56:14+00:00
4440,0,0,1,0,0,0,2022-01-12 00:56:14+00:00
4439,0,1,0,0,0,0,2022-01-12 01:41:52+00:00
4438,0,0,1,0,0,0,2022-01-12 02:04:07+00:00
4437,0,0,1,0,0,0,2022-01-12 06:33:52+00:00
4436,0,0,1,0,0,0,2022-01-12 06:38:14+00:00
4435,0,0,0,0,1,0,2022-01-12 08:23:10+00:00
4434,1,0,0,0,0,0,2022-01-12 08:52:02+00:00
4433,0,1,0,0,0,0,2022-01-12 09:28:20+00:00
4432,0,0,0,0,0,1,2022-01-12 09:55:55+00:00
4431,0,0,0,0,0,1,2022-01-12 10:11:47+00:00
4430,0,0,0,1,0,0,2022-01-12 10:25:38+00:00
4429,0,0,1,0,0,0,2022-01-12 10:51:40+00:00
4428,0,0,0,0,0,1,2022-01-12 11:35:19+00:00
4427,1,0,0,0,0,0,2022-01-12 11:37:46+00:00
