,tweets_lies,nombre_tweets_lies,candidat
ecologie,9.6116,4583,Zemmour
economie,14.9994,7152,Zemmour
education,19.5504,9322,Zemmour
immigration,20.9953,10011,Zemmour
sante,6.2917,3000,Zemmour
securite_defense,28.5517,13614,Zemmour
