,tweets_lies,nombre_tweets_lies,candidat
ecologie,18.768,1237,Hidalgo
economie,24.0631,1586,Hidalgo
education,22.7735,1501,Hidalgo
immigration,7.4647,492,Hidalgo
sante,6.9337,457,Hidalgo
securite_defense,19.997,1318,Hidalgo
