,tweets_lies,nombre_tweets_lies,candidat
ecologie,10.5263,26,Arthaud
economie,22.2672,55,Arthaud
education,26.3158,65,Arthaud
immigration,12.9555,32,Arthaud
sante,6.8826,17,Arthaud
securite_defense,21.0526,52,Arthaud
