,tweets_lies,nombre_tweets_lies,candidat
ecologie,12.6592,1332,Lepen
economie,20.3098,2137,Lepen
education,15.1872,1598,Lepen
immigration,19.0458,2004,Lepen
sante,5.2366,551,Lepen
securite_defense,27.5613,2900,Lepen
