,tweets_lies,nombre_tweets_lies,candidat
ecologie,9.4865,593,DupontAignan
economie,15.2616,954,DupontAignan
education,19.9008,1244,DupontAignan
immigration,7.9987,500,DupontAignan
sante,19.9328,1246,DupontAignan
securite_defense,27.4196,1714,DupontAignan
