,tweets_lies,nombre_tweets_lies,candidat
ecologie,11.9741,37,Lassalle
economie,18.4466,57,Lassalle
education,25.89,80,Lassalle
immigration,9.0615,28,Lassalle
sante,9.3851,29,Lassalle
securite_defense,25.2427,78,Lassalle
