,tweets_lies,nombre_tweets_lies,candidat
ecologie,15.4274,4519,Mélenchon
economie,20.2922,5944,Mélenchon
education,22.6854,6645,Mélenchon
immigration,8.8045,2579,Mélenchon
sante,6.6366,1944,Mélenchon
securite_defense,26.1539,7661,Mélenchon
