,tweets_lies,nombre_tweets_lies,candidat
ecologie,14.4914,151,Poutou
economie,25.8157,269,Poutou
education,24.6641,257,Poutou
immigration,7.6775,80,Poutou
sante,4.9904,52,Poutou
securite_defense,22.3608,233,Poutou
