,tweets_lies,nombre_tweets_lies,candidat
ecologie,12.2635,14493,Macron
economie,23.8484,28184,Macron
education,14.3214,16925,Macron
immigration,10.275,12143,Macron
sante,12.5918,14881,Macron
securite_defense,26.6999,31554,Macron
