,tweets_lies,nombre_tweets_lies,candidat
ecologie,19.415,896,Roussel
economie,25.2221,1164,Roussel
education,21.7118,1002,Roussel
immigration,6.1322,283,Roussel
sante,4.8104,222,Roussel
securite_defense,22.7086,1048,Roussel
