,tweets_lies,nombre_tweets_lies,candidat
ecologie,10.818,1718,Pécresse
economie,20.534,3261,Pécresse
education,24.0602,3821,Pécresse
immigration,12.1844,1935,Pécresse
sante,7.3862,1173,Pécresse
securite_defense,25.0173,3973,Pécresse
